,137,232,school_pri
883,83.0,11.0,2322.0
884,53.0,5.0,1496.0
885,32.0,0.0,1192.0
886,28.0,4.0,1318.0
887,32.0,1.0,742.0
888,31.0,5.0,566.0
889,9.0,3.0,398.0
890,3.0,1.0,172.0
891,4.0,1.0,94.0
892,3.0,0.0,66.0
893,2.0,0.0,76.0
894,5.0,2.0,244.0
895,21.0,0.0,408.0
896,20.0,0.0,572.0
897,23.0,1.0,930.0
898,23.0,1.0,1072.0
899,44.0,3.0,1166.0
900,38.0,6.0,1370.0
901,37.0,1.0,1356.0
902,19.0,1.0,1250.0
903,32.0,0.0,1286.0
904,45.0,3.0,1432.0
905,56.0,5.0,1754.0
906,54.0,6.0,1636.0
907,37.0,2.0,746.0
908,21.0,1.0,492.0
909,21.0,1.0,608.0
910,33.0,5.0,876.0
911,30.0,3.0,654.0
912,12.0,0.0,282.0
913,3.0,1.0,116.0
914,3.0,0.0,60.0
915,0.0,0.0,40.0
916,0.0,0.0,56.0
917,4.0,1.0,248.0
918,13.0,0.0,860.0
919,48.0,2.0,1798.0
920,59.0,5.0,2718.0
921,57.0,5.0,2422.0
922,73.0,6.0,2426.0
923,84.0,1.0,2352.0
924,83.0,6.0,2414.0
925,75.0,5.0,2760.0
926,82.0,3.0,3044.0
927,84.0,5.0,3204.0
928,119.0,6.0,2728.0
929,126.0,4.0,3060.0
930,94.0,7.0,2512.0
931,77.0,4.0,1654.0
932,52.0,3.0,1004.0
933,30.0,0.0,682.0
934,14.0,1.0,464.0
935,15.0,0.0,238.0
936,10.0,1.0,150.0
937,6.0,0.0,96.0
938,2.0,0.0,42.0
939,1.0,0.0,32.0
940,0.0,0.0,54.0
941,3.0,0.0,184.0
942,10.0,0.0,798.0
943,53.0,2.0,1756.0
944,54.0,4.0,2582.0
945,53.0,4.0,2508.0
946,75.0,3.0,2454.0
947,92.0,1.0,2658.0
948,83.0,9.0,2796.0
949,68.0,6.0,2788.0
950,80.0,1.0,3296.0
951,81.0,6.0,3206.0
952,113.0,6.0,2922.0
953,94.0,4.0,3022.0
954,97.0,3.0,2716.0
955,81.0,1.0,1834.0
956,47.0,2.0,1256.0
957,29.0,0.0,914.0
958,18.0,1.0,538.0
959,25.0,1.0,354.0
